Path	Frame	Seconds	Speed	Linear Acceleration	Net-to-Gross Displacement Ratio	Rate of Change of Direction	Angular Velocity	Direction of Travel	Orientaiton	Rate of Change of Orientation
			(micrometers/second)	(micrometers/(second*second))		(degrees/second)	(degrees/second)	(degrees)	(degrees)	(degrees/second)
1	63	2.06667	8.72217	0.02687	0.46637	112.78087	1774.78833	1774.78845	-61.07575	86.83056
1	64	2.1	8.5079	-41.48463	0.46321	171.93031	-956.47369	956.47369	-62.24249	-17.50116
1	65	2.13333	5.95653	44.31607	0.46321	49.01596	-1379.82336	1379.82336	-62.24249	21.76506
1	66	2.16667	11.4623	34.59598	0.46546	79.94209	830.04901	830.04895	-60.79149	-59.75178
1	67	2.2	8.26292	-132.75967	0.47467	104.35255	1084.83154	1084.83154	-66.22594	-177.79874
1	68	2.23333	2.61166	4.77664	0.47624	152.26419	609.02942	609.02942	-72.64474	140.89319
1	69	2.26667	8.58137	63.01014	0.47472	144.95451	-293.28024	293.28027	-56.83307	280.47638
1	70	2.3	6.81233	3.16226	0.4808	132.71217	-340.29572	340.29568	-53.94631	33.72746
1	71	2.33333	8.79218	240.62695	0.48058	122.26814	-56.85983	56.85997	-54.58457	171.06595
1	72	2.36667	22.85413	73.82498	0.48999	128.92151	121.05431	121.05434	-42.54192	-28.47691
1	73	2.4	13.71385	-148.6949	0.50253	130.33842	-306.26434	306.26428	-56.48303	-204.07562
1	74	2.43333	12.94114	156.58838	0.50165	108.50389	-301.21786	301.2179	-56.14696	-15.53169
1	75	2.46667	24.15307	-28.28832	0.5159	110.25723	16.14032	16.14029	-57.51847	-20.45082
1	76	2.5	11.05525	-143.56285	0.52736	109.57991	-75.35804	75.35809	-57.51035	0.12194
1	77	2.53333	14.58222	221.07808	0.52736	105.23336	175.62012	175.62012	-57.51035	79.31305
1	78	2.56667	25.79379	-31.96125	0.54175	121.28792	524.28351	524.28351	-52.22281	251.85883
1	79	2.6	12.45147	-201.54425	0.54901	140.18559	-149.65038	149.65039	-40.71976	172.54578
1	80	2.63333	12.3575	186.17729	0.54901	111.31123	-280.5361	280.53601	-40.71976	-71.47682
1	81	2.66667	24.86329	16.23721	0.56	121.48319	301.01257	301.0127	-45.48488	-166.98865
1	82	2.7	13.43998	-152.41406	0.56888	131.37874	385.64853	385.64862	-51.85233	-48.94936
1	83	2.73333	14.70235	118.77212	0.56922	147.1931	146.53256	146.53244	-48.74817	-38.03736
1	84	2.76667	21.35813	-108.56558	0.57485	141.14757	-277.54916	277.54919	-54.38816	-235.51598
1	85	2.8	7.46464	-204.27327	0.58001	128.68982	45.1994	45.19936	-64.44923	-150.91615
1	86	2.83333	7.73991	190.28387	0.58001	144.16086	161.85593	161.85585	-64.44923	-44.90398
1	87	2.86667	20.15024	59.58876	0.5836	139.48021	-117.96679	117.96661	-67.44283	779.59241
1	88	2.9	11.71249	-189.11319	0.59077	136.29642	-875.39679	875.39679	-12.47641	775.92407
1	89	2.93333	7.54269	-57.25705	0.58883	81.12042	-498.31094	498.311	-15.71456	184.53595
1	90	2.96667	7.89535	-66.62319	0.59319	103.07568	1710.00464	1710.00476	-0.17401	465.81729
1	91	3	3.10114	-50.10243	0.59186	195.12074	746.84344	746.84351	15.33993	282.56366
1	92	3.03333	4.55519	83.67733	0.59044	152.86525	-1985.95703	1985.95715	18.66357	367.6405
1	93	3.06667	8.67963	70.77007	0.5925	62.7236	-1741.12695	1741.12695	39.84929	-106.31238
1	94	3.1	9.2732	-80.7021	0.58682	36.79012	204.70103	204.70105	11.57608	-412.44272
1	95	3.13333	3.29949	-64.70294	0.5871	76.37034	-1114.76086	1114.76086	12.35311	-618.59375
1	96	3.16667	4.95967	48.75182	0.58815	-37.52728	-2061.34399	2061.34399	-29.66351	-128.57077
1	97	3.2	6.54961	110.39351	0.57076	-61.0526	214.71992	214.71988	3.78173	501.6785
1	98	3.23333	12.31923	280.30893	0.57076	-23.21262	316.89618	316.89618	3.78173	-700.42432
1	99	3.26667	25.23688	23.6705	0.54539	-39.92619	-472.24533	472.2453	-42.91323	-754.22888
1	100	3.3	13.89727	-263.28748	0.51174	-54.69564	-259.67944	259.67944	-46.5002	-53.80457
1	101	3.33333	7.68438	92.53435	0.51174	-57.23815	254.74808	254.74806	-46.5002	83.87386
1	102	3.36667	20.06623	80.91032	0.49365	-37.71243	462.7655	462.7655	-40.90861	151.70403
1	103	3.4	13.0784	-171.68636	0.46963	-26.38712	-144.64749	144.64749	-36.3866	67.83016
1	104	3.43333	8.62047	108.22902	0.46963	-47.3556	112.78242	112.78241	-36.3866	134.08725
1	105	3.46667	20.29367	71.16959	0.4516	-18.86829	696.06671	696.06671	-27.44745	422.61749
1	106	3.5	13.36511	-180.53178	0.43736	-0.95115	335.28995	335.28995	-8.2121	288.53027
1	107	3.53333	8.25822	142.05389	0.43736	3.48437	-6.89404	6.89404	-8.2121	53.09977
1	108	3.56667	22.83537	95.49066	0.43022	-1.41076	-114.85654	114.85654	-4.67211	209.79738
1	109	3.6	14.62426	-192.43677	0.41601	-4.17273	172.60286	172.60287	5.7744	156.69762
1	110	3.63333	10.00625	8.28887	0.41601	10.0961	189.50478	189.50478	5.7744	69.6704
1	111	3.66667	15.17685	-55.59376	0.41079	8.46092	-56.68851	56.68851	10.41909	208.36168
1	112	3.7	6.3	-3.09382	0.40772	6.31687	220.58255	220.58255	19.66517	138.67691
1	113	3.73333	14.9706	289.23309	0.40724	23.16643	370.45505	370.45505	19.66422	184.72726
1	114	3.76667	25.5822	-45.72501	0.40618	31.01387	237.77574	237.77576	31.98033	230.73495
1	115	3.8	11.92226	-244.36874	0.40955	39.01814	421.25104	421.25104	35.04655	45.99332
1	116	3.83333	9.29096	240.2782	0.40955	59.09727	168.31963	168.31964	35.04655	77.74675
1	117	3.86667	27.94081	142.86288	0.41521	50.23945	-198.28009	198.28011	40.22966	141.76146
1	118	3.9	18.81515	-181.71983	0.42325	45.8786	187.36829	187.36829	44.49731	64.0147
1	119	3.93333	15.82615	139.09778	0.42325	62.73067	279.6286	279.6286	44.49731	46.06035
1	120	3.96667	28.08833	-53.19451	0.43333	64.52051	61.45233	61.45231	47.568	345.89899
1	121	4	12.27985	-277.48563	0.44136	66.82749	316.91675	316.91678	67.55724	299.83862
1	122	4.03333	9.58929	140.27231	0.44136	85.64829	323.88113	323.88107	67.55724	217.52026
1	123	4.06667	21.63134	37.09331	0.44811	88.41956	74.61132	74.61136	82.05859	532.16034
1	124	4.1	12.06218	-139.77213	0.45631	90.62238	385.3833	385.38333	103.0346	314.64008
1	125	4.13333	12.3132	4.68836	0.45631	114.11179	360.37289	360.37286	103.0346	139.18739
1	126	4.16667	12.37473	-182.73694	0.46272	114.64724	932.83301	932.83313	112.31376	117.4799
1	127	4.2	0.13074	-74.51474	0.46264	176.30066	2806.23779	2806.23779	110.86659	-21.7075
1	128	4.23333	7.40709	306.39584	0.46264	301.72977	1806.1084	1806.1084	110.86659	72.15603
1	129	4.26667	20.55713	86.80991	0.4512	296.70789	-117.57894	117.57889	115.67699	18.46172
1	130	4.3	13.19441	-152.63329	0.43029	293.89117	-76.27139	76.27167	112.09737	-53.69431
1	131	4.33333	10.38157	76.65776	0.43029	291.62311	81.13546	81.13541	112.09737	15.8107
1	132	4.36667	18.30493	-33.69129	0.41415	299.3002	262.3847	262.3851	113.15142	44.95377
1	133	4.4	8.13549	-78.42765	0.40358	309.11545	-251.65775	251.65787	115.09429	29.14307
1	134	4.43333	13.07642	231.78531	0.40358	282.52301	-153.92999	153.93036	115.09429	78.3886
1	135	4.46667	23.58784	-21.61813	0.38338	298.85342	521.27979	521.27979	120.3202	81.28613
1	136	4.5	11.63521	-186.0826	0.3709	317.27499	116.29989	116.2999	120.51337	2.89753
1	137	4.53333	11.18233	195.40416	0.3709	306.60675	-263.30728	263.30704	120.51337	118.19183
1	138	4.56667	24.66216	36.66389	0.35766	299.72119	-187.9738	187.97379	128.39282	71.72264
1	139	4.6	13.62659	-323.75955	0.34006	294.07516	135.83504	135.83496	125.29488	-46.46919
1	140	4.63333	3.07819	-5.3831	0.34006	308.77686	382.96851	382.96875	125.29488	19.79233
1	141	4.66667	13.26772	110.56428	0.3368	319.60641	185.50085	185.50095	126.61436	-34.20868
1	142	4.7	10.44914	-45.33844	0.32857	321.14359	-444.74451	444.74442	123.0143	-29.86336
1	143	4.73333	10.24516	121.04691	0.32806	289.95679	-279.52359	279.52377	124.62347	-6.59718
1	144	4.76667	18.51893	-18.33136	0.31591	302.50867	380.44611	380.44601	122.57449	53.92822
1	145	4.8	9.02307	-93.88285	0.30832	315.31985	83.44312	83.44299	128.21869	84.66305
1	146	4.83333	12.26007	173.63257	0.30832	308.07153	-155.12743	155.12741	128.21869	-13.16471
1	147	4.86667	20.59857	-58.1633	0.29718	304.97803	-114.30762	114.30771	127.34104	110.82962
1	148	4.9	8.38252	-165.77283	0.28901	300.45102	544.71863	544.71863	135.60733	123.99433
1	149	4.93333	9.54705	107.67301	0.28901	341.2926	480.1839	480.18402	135.60733	39.30702
1	150	4.96667	15.56072	-48.71164	0.28663	332.46329	-334.20773	334.20776	138.2278	18.45772
1	151	5	6.29961	-154.19482	0.2828	319.01208	-192.62759	192.62741	136.83784	-20.8493
1	152	5.03333	5.28107	54.13693	0.2828	319.62146	153.28368	153.28354	136.83784	-41.51894
1	153	5.06667	9.90874	-7.46073	0.27978	329.23099	303.43323	303.43323	134.06992	-7.13837
1	154	5.1	4.78368	-48.455	0.27885	339.85034	2592.98218	2592.98218	136.36195	34.38057
1	155	5.13333	6.6784	234.50246	0.27885	502.09647	2122.15259	2122.15259	136.36195	21.3446
1	156	5.16667	20.41718	131.43013	0.27847	481.32718	-409.32901	409.32861	137.78493	30.15244
1	157	5.2	15.44041	-121.59194	0.28456	474.80789	263.06558	263.06534	138.37212	-45.25406
1	158	5.23333	12.31105	73.25047	0.28438	498.86487	429.02988	429.02985	134.76799	4.12102
1	159	5.26667	20.32378	-43.21524	0.28524	503.40988	169.25797	169.25812	138.64685	52.15439
1	160	5.3	9.43004	-103.74304	0.28434	510.14874	-535.59772	535.59766	138.24495	-6.02852
1	161	5.33333	13.40757	202.30255	0.28434	467.70337	-341.11783	341.11771	138.24495	-36.93993
1	162	5.36667	22.91687	-36.52542	0.2912	487.40756	635.84857	635.84839	135.78229	-25.58304
1	163	5.4	10.97255	-254.60599	0.29053	510.09326	-408.65671	408.65707	136.53941	38.88428
1	164	5.43333	5.94314	99.98294	0.29055	460.16376	42.25747	42.25708	138.37457	104.89334
1	165	5.46667	17.63807	116.23782	0.2939	512.9104	1043.55261	1043.55286	143.5323	296.69357
1	166	5.5	13.69233	-132.91431	0.28899	529.73395	-132.31985	132.31934	158.15414	150.64659
1	167	5.53333	8.77712	89.14697	0.28911	504.08911	-261.22095	261.22101	153.57541	-50.32928
1	168	5.56667	19.63546	23.15372	0.28969	512.31921	179.20741	179.20715	154.79886	396.36887
1	169	5.6	10.3207	-162.35127	0.28937	516.03625	535.56696	535.56702	180	378.01712
1	170	5.63333	8.81204	114.71652	0.28937	548.02368	378.58408	378.58429	180	-92.77496
1	171	5.66667	17.96847	6.95134	0.28493	541.27521	-197.37383	197.37396	173.815	0
1	172	5.7	9.27546	-147.02328	0.28245	534.86542	261.68665	261.6861	180	92.77496
1	173	5.73333	8.16692	183.67076	0.28245	558.72095	296.50891	296.50909	180	142.72522
1	174	5.76667	21.52018	78.29691	0.27754	554.63269	-98.71689	98.71674	189.51501	307.05023
1	175	5.8	13.38671	-178.27516	0.27129	552.13983	463.70383	463.70361	200.47002	164.32503
1	176	5.83333	9.63517	74.03219	0.27129	585.54626	280.65436	280.65491	200.47002	-47.53372
1	177	5.86667	18.32219	12.63129	0.26293	570.85016	-461.73517	461.73523	197.3011	-88.7986
1	178	5.9	10.47726	-135.60652	0.25874	554.76392	-341.92377	341.92383	194.55011	-62.3838
1	179	5.93333	9.28176	89.96907	0.25838	548.05524	-253.88385	253.88397	193.14218	-110.6765
1	180	5.96667	16.47519	-10.12795	0.25592	537.83832	-298.83206	298.8327	187.17168	-42.85973
1	181	6	8.60656	-77.95889	0.25609	528.13306	368.40668	368.40729	190.28487	46.69785
1	182	6.03333	11.27794	95.10318	0.25609	562.3988	631.81494	631.81549	190.28487	87.00645
1	183	6.06667	14.94677	-108.01028	0.25097	570.25409	451.01636	451.01624	196.0853	259.11713
1	184	6.1	4.07725	-159.64455	0.24768	592.46655	199.96538	199.9649	207.55934	172.11067
1	185	6.13333	4.3038	174.13466	0.24768	583.58508	-145.64008	145.64026	207.55934	-157.44347
1	186	6.16667	15.68623	106.18864	0.24469	582.7572	-17.11372	17.11304	197.06311	-97.23381
1	187	6.2	11.38305	-194.13239	0.2372	582.44421	437.38086	437.38037	201.07709	60.20966
1	188	6.23333	2.74407	33.74956	0.2372	611.91589	269.15076	269.15039	201.07709	114.58099
1	189	6.26667	13.63302	123.20953	0.23466	600.38757	-215.95486	215.95459	208.71582	195.35843
1	190	6.3	10.95804	19.26538	0.22605	597.51892	-147.75787	147.75787	214.10098	80.77744
1	191	6.33333	14.91737	119.20087	0.22605	590.53705	38.33047	38.33038	214.10098	141.21735
1	192	6.36667	18.90476	-150.74428	0.21599	600.07428	600.77667	600.77637	223.51547	199.61197
1	193	6.4	4.86776	-225.68263	0.21132	630.58881	1833.70459	1833.70508	227.40845	58.39462
1	194	6.43333	3.85925	95.41801	0.21132	722.32129	1555.98584	1555.98633	227.40845	-60.34172
1	195	6.46667	11.22896	54.56764	0.21001	734.32123	272.15622	272.15607	223.38567	-17.14211
1	196	6.5	7.4971	41.07967	0.2095	740.46503	186.37982	186.37939	226.26564	43.19962
1	197	6.53333	13.9676	254.72536	0.2095	746.74652	148.25082	148.25043	226.26564	17.14439
1	198	6.56667	24.47879	-50.88535	0.21019	750.34839	125.42246	125.42267	227.4086	33.7381
1	199	6.6	10.57524	-237.80894	0.21216	755.10803	-23.67642	23.67645	228.51485	16.5937
1	200	6.63333	8.62486	97.3129	0.21216	748.76996	-75.58829	75.58777	228.51485	167.84363
1	201	6.66667	17.06277	-2.73695	0.21327	750.06885	39.38638	39.3869	239.70442	81.10291
1	202	6.7	8.44239	-57.78068	0.21478	751.39575	477.4176	477.4173	233.92171	-86.74072
1	203	6.73333	13.21073	208.53775	0.21478	781.89667	300.44321	300.44312	233.92171	246.82388
1	204	6.76667	22.34491	-53.29944	0.22124	771.42529	-373.00446	373.00415	250.37663	135.02655
1	205	6.8	9.65743	-204.56183	0.22383	757.02972	60.98109	60.98053	242.92348	-111.79733
1	206	6.83333	8.70745	145.98543	0.22383	775.49066	13.72339	13.72284	242.92348	-54.85153
1	207	6.86667	19.38979	55.20438	0.22773	757.94458	-394.45364	394.45313	239.26671	0.1767
1	208	6.9	12.38775	-168.86328	0.22944	749.19379	695.94574	695.94543	242.93526	83.49152
1	209	6.93333	8.13224	43.69424	0.23019	804.34094	483.73361	483.73352	244.83281	94.43848
1	210	6.96667	15.3007	22.41586	0.2341	781.44269	-610.78461	610.784	249.23116	-117.11357
1	211	7	9.62663	-82.40308	0.23755	763.62201	-178.02985	178.02979	237.02524	-183.08876
1	212	7.03333	9.80716	108.68636	0.23755	769.57404	310.76309	310.76294	237.02524	225.72052
1	213	7.06667	16.87239	-30.10149	0.24161	784.33954	501.8176	501.81793	252.07327	468.59756
1	214	7.1	7.80039	-84.53008	0.24592	803.02856	-137.34033	137.34009	268.26508	242.87704
1	215	7.13333	11.23705	226.97284	0.24592	775.18353	-262.97177	262.97241	268.26508	-123.75641
1	216	7.16667	22.93191	192.812	0.25096	785.49707	298.92084	298.92059	260.01465	-129.4281
1	217	7.2	24.09118	-34.77802	0.25732	795.11157	288.43448	288.43506	259.63654	-11.34338
										
1		Mean	12.66722	1.68901	0.36904	254.74754	135.17192	454.00977	45.66979	53.95534
1		STD	6.27712	140.58592	0.16062	269.33942	679.22044	522.95985	125.46567	182.8634
										
2	4	0.1	4.89468	438.14682	1	94.38407	-4293.56982	4293.56982	-34.14273	1.42239
2	5	0.13333	19.49957	256.60471	1.00002	-48.73492	-2220.16577	2220.16577	-34.09531	1078.26807
2	6	0.16667	22.00166	-129.18985	0.81402	-53.62697	883.04095	883.04095	37.74181	1079.56641
2	7	0.2	10.88691	-52.9127	0.81262	10.13448	1199.58179	1199.58179	37.87578	210.10042
2	8	0.23333	18.47414	-41.27971	0.75314	26.34514	510.03326	510.03329	51.74851	17.13209
2	9	0.26667	8.13493	-119.74036	0.69203	44.1367	2320.73804	2320.73779	39.01792	-190.95886
2	10	0.3	10.49145	92.39404	0.69203	181.061	2463.87427	2463.87451	39.01792	44.05243
2	11	0.33333	14.29454	-53.49941	0.374	208.39499	1071.21936	1071.21936	41.95475	3.53828
2	12	0.36667	6.92483	-41.9071	0.35691	252.47563	188.28523	188.28506	39.2538	-40.51414
2	13	0.4	11.50073	186.26901	0.35691	220.94733	-96.74497	96.74492	39.2538	389.21384
2	14	0.43333	19.34276	-14.66028	0.31543	246.02597	829.74194	829.74194	65.20139	435.58713
2	15	0.46667	10.52338	-110.13771	0.39612	276.26346	215.98845	215.98846	68.29295	65.9317
2	16	0.5	12.00025	190.81369	0.39876	260.4252	-80.90776	80.9079	69.59684	166.88278
2	17	0.53333	23.24429	39.12419	0.46251	270.8696	324.97308	324.9733	79.41846	338.50055
2	18	0.56667	14.60853	-143.16591	0.52275	282.09009	319.1683	319.1684	92.16354	169.79828
2	19	0.6	13.6999	68.74347	0.53399	292.14749	179.38545	179.38522	90.73835	-32.45316
2	20	0.63333	19.19142	-85.61855	0.57442	294.0491	3.86466	3.8649	90	258.09631
2	21	0.66667	7.99199	-109.05826	0.59997	292.40515	2332.22803	2332.22803	107.94477	269.17157
2	22	0.7	11.92087	115.0654	0.59997	449.53098	2740.10864	2740.1084	107.94477	1080.82849
2	23	0.73333	15.66302	-64.72649	0.46734	475.07904	1070.07983	1070.07983	180	1970.34155
2	24	0.76667	7.60577	-126.9654	0.41956	520.86963	1317.84521	1317.84485	239.30087	764.75555
2	25	0.8	7.19866	134.283	0.4161	562.93536	944.31799	944.31793	230.9837	150.52803
2	26	0.83333	16.55797	45.26143	0.41213	583.82416	490.59421	490.59448	249.33607	305.79025
2	27	0.86667	10.21609	-136.07535	0.43672	595.64166	795.9917	795.99152	251.36972	30.50468
2	28	0.9	7.48628	77.32922	0.43672	636.89026	328.08527	328.08563	251.36972	209.86908
2	29	0.93333	15.37137	9.46743	0.46074	617.51404	-610.17786	610.17792	265.36099	404.98993
2	30	0.96667	8.11745	-100.12493	0.48108	596.21173	1614.7041	1614.70361	278.36905	183.2547
2	31	1	8.69637	67.21328	0.47431	725.16095	2495.69458	2495.69556	277.57797	-250.42328
2	32	1.03333	12.59833	6.52194	0.45221	762.59143	1214.77698	1214.77759	261.67416	-113.66959
2	33	1.06667	9.13117	47.24108	0.39009	806.14612	384.70566	384.70551	270	11.21796
2	34	1.1	15.74774	210.13603	0.38632	788.23846	136.3075	136.30737	262.42203	0
2	35	1.13333	23.14024	-59.47987	0.29712	815.23328	934.3291	934.32861	270	571.92126
2	36	1.16667	11.78241	-192.30023	0.23898	850.52704	108.18321	108.18329	300.55011	458.25165
2	37	1.2	10.32022	173.7075	0.23898	822.4455	-132.79245	132.79175	300.55011	-113.09509
2	38	1.23333	23.36291	233.20409	0.18598	841.67426	502.97946	502.97882	293.01044	198.96423
2	39	1.26667	25.86716	-172.97371	0.14189	855.97742	219.70314	219.70276	313.81439	264.32053
2	40	1.3	11.83133	-170.34821	0.12104	856.32111	256.82233	256.82281	310.63181	-47.7388
2	41	1.33333	14.51061	401.65192	0.12104	873.09894	312.35236	312.35229	310.63181	281.9252
2	42	1.36667	38.60813	190.25461	0.13227	877.14459	109.61979	109.61975	329.42682	284.02908
2	43	1.4	27.19425	-357.28824	0.18153	880.40692	218.93468	218.93463	329.56708	89.54132
2	44	1.43333	14.78891	10.19978	0.18885	891.74023	166.88852	166.88873	335.39624	55.57571
2	45	1.46667	27.87424	36.1005	0.21743	891.53284	-16.71511	16.71478	333.27213	216.16699
2	46	1.5	17.19561	-121.63542	0.25358	890.62592	145.51834	145.51849	349.80737	273.70193
2	47	1.53333	19.76521	279.52814	0.25587	901.23407	137.9528	137.95258	351.51892	-19.53552
2	48	1.56667	35.83082	-39.51296	0.29528	899.82275	-52.06631	52.06696	348.505	-113.79135
2	49	1.6	17.13101	-241.50713	0.32767	897.76294	-23.09484	23.09509	343.93283	-68.58261
2	50	1.63333	19.73035	282.86176	0.32767	898.28308	253.47984	253.48022	343.93283	281.86844
2	51	1.66667	35.98846	-23.11515	0.36154	914.66162	546.02667	546.02692	362.72406	248.16833
2	52	1.7	18.18934	-235.25505	0.38421	934.68488	-108.9526	108.95233	360.47739	-279.70093
2	53	1.73333	20.30479	134.45689	0.3834	907.39813	-274.23224	274.23248	344.07733	80.08209
2	54	1.76667	27.15313	-174.67607	0.41268	916.40271	545.29999	545.29999	365.81619	434.51797
2	55	1.8	8.65972	-350.76697	0.41964	943.75146	2597.16284	2597.1626	373.0452	-1.40991
2	56	1.83333	3.76867	15.3246	0.42028	1089.54688	1758.60168	1758.60168	365.7222	-86.51093
2	57	1.86667	9.68136	35.26646	0.40651	1060.99158	-810.2088	810.20874	367.2778	609.41663
2	58	1.9	6.11976	-38.76954	0.39104	1035.53296	-450.63995	450.64087	406.34998	522.37061
2	59	1.93333	7.09673	68.14708	0.39187	1030.94885	150.74471	150.74524	402.10251	325.30884
